HSNCode,Description of Goods,CGST,SGST,IGST
4812,"Filter    blocks, slabs and plates, of paper pulp",9,9,18
4813,"Cigarette    paper, whether or not cut to size or in the form of booklets or tubes",9,9,18
4814,Wall    paper and similar wall coverings  window transparencies of paper,9,9,18
4816,"Carbon    paper, self-copy paper and other copying or transfer papers (other than those    of heading 4809), duplicator stencils and offset plates, of paper, whether or    not put up in boxes",9,9,18
4817,"Postal    items, like envelope, Post card etc., sold by Government",0,0,0
4818,"Toilet    paper and similar paper, cellulose wadding or webs of cellulose fibres, of a    kind used for household or sanitary purposes, in rolls of a width not    exceeding 36 cm, or cut to size or shape; handkerchiefs, cleansing tissues,    towels, table cloths, serviettes, napkins for babies, tampons, bed sheets and    similar household, sanitary or hospital articles, articles of apparel and    clothing accessories, or paper pulp, paper, cellulose wadding or webs of    cellulose fibres",9,9,18
4819,"Cartons,    boxes and cases of corrugated paper or paper board",6,6,12
4820,"Exercise    book, graph book, & laboratory note book and notebooks",6,6,12
4821,"Paper    or paperboard labels of all kinds, whether or not printed",9,9,18
4822,"Bobbins,    spools, cops and similar supports of paper pulp, paper or paperboard (whether    or not perforated or hardened)",9,9,18
4823,Articles made of paper mache,2.5,2.5,5
4901,"Brochures,    leaflets and similar printed matter, whether or not in single sheets",2.5,2.5,5
4902,"Newspapers,    journals and periodicals, whether or not illustrated or containing    advertising material",0,0,0
4903,"Children`s    picture, drawing or colouring books",0,0,0
4905,"Maps    and hydrographic or similar charts of all kinds, including atlases, wall    maps, topographical plans and globes, printed",0,0,0
4907,Duty    Credit Scrips,0,0,0
4908,Transfers    (decalcomanias),6,6,12
4909,"Printed or    illustrated postcards; printed cards bearing personal greetings, messages or    announcements, whether or not illustrated, with or without envelopes or    trimmings",6,6,12
4910,"Calendars    of any kind, printed, including calendar blocks",6,6,12
4911,"Other    printed matter, including printed pictures and photographs; such as Trade    advertising material, Commercial catalogues and the like, printed Posters,    Commercial catalogues, Printed inlay cards, Pictures, designs and    photographs, Plan and drawings for architectural engineering, industrial,    commercial, topographical or similar purposes reproduced with the aid of    computer or any other devices",6,6,12
5001,"Silkworm    laying, cocoon",0,0,0
5002,Raw    silk,0,0,0
5003,Silk    waste,0,0,0
5006,Silk    yarn,2.5,2.5,5
5007,Woven    fabrics of silk or of silk waste,2.5,2.5,5
5101,"Wool,    not carded or combed",0,0,0
5102,"Fine    or coarse animal hair, not carded or combed",0,0,0
5103,Waste    of wool or of fine or coarse animal hair,0,0,0
5104,"Garneted    stock of wool or of fine or coarse animal hair, shoddy wool",2.5,2.5,5
5105,"Wool    and fine or coarse animal hair, carded or combed",2.5,2.5,5
5110,Yarn    of wool or of animal hair,2.5,2.5,5
5113,Woven    fabrics of wool or of animal hair,2.5,2.5,5
5203,Cotton    and Cotton waste,2.5,2.5,5
5204,"Cotton    sewing thread, whether or not put up for retail sale",2.5,2.5,5
5207,Cotton    yarn [other than khadi yarn],2.5,2.5,5
5212,Woven    fabrics of cotton,2.5,2.5,5
5301,"All    goods i.e. flax, raw or processed but not spun; flax tow and waste (including    yarn waste and garneted stock) ",2.5,2.5,5
5302,"True    hemp (Cannabis sativa L), raw or processed but not spun; tow and waste of    true hemp (including yarn waste and garneted stock)",2.5,2.5,5
5303,"All    goods i.e. textile bast fibres [other than jute fibres, raw orprocessed but    not spun]; tow and waste of these fibres (including yarn waste and garneted    stock)",2.5,2.5,5
5305,"Coconut,    coir fibre",0,0,0
5308,"All    goods [other than coconut coir fibre] including yarn of flax, jute, other    textile bast fibres, other vegetable textile fibres; paper yarn, including    coir  pith compost put up in unit    container and bearing a brand name",2.5,2.5,5
5311,"Woven fabrics    of other vegetable textile fibres, paper yarn",2.5,2.5,5
5401,"Sewing    thread of manmade filaments, whether or not put up for retail sale",6,6,12
5402,Synthetic    or artificial filament yarns,6,6,12
5403,All    goods other than artificial filament yarns,9,9,18
5408,Woven    fabrics of manmade textile materials,2.5,2.5,5
5501,Synthetic or    artificial filament tow,9,9,18
5503,Synthetic    or artificial staple fibres,9,9,18
5505,Waste    of manmade fibres,9,9,18
5508,Sewing    thread of manmade staple fibres,6,6,12
5509,Yarn    of manmade staple fibres,6,6,12
5516,Woven    fabrics of manmade staple fibres,2.5,2.5,5
5601,Wadding    of textile materials and articles thereof  such as Absorbent cotton wool    except cigarette filter rods,6,6,12
5602,"Felt,    whether or not impregnated, coated, covered or laminated",6,6,12
5603,"Nonwovens,    whether or not impregnated, coated, covered or laminated",6,6,12
5604,"Rubber    thread and cord, textile covered; textile yarn, and strip and the like of    heading 5404 or 5405, impregnated, coated, covered or sheathed with rubber or    plastics",6,6,12
5605,"Metallised    yarn, whether or not gimped, being textile yarn, or strip or the like of    heading 5404 or 5405, combined with metal in the form of thread, strip or    powder or covered with metal; Imitation zari thread",6,6,12
5606,"Gimped    yarn, and strip and the like of heading 5404 or 5405, gimped (other than    those of heading 5605 and gimped horsehair yarn); chenille yarn (including    flock chenille yarn); loop wale-yarn",6,6,12
5607,"Jute    twine, coir cordage or ropes",2.5,2.5,5
5608,"Knotted    netting of twine, cordage or rope; made up fishing nets and other made up    nets, of textile materials",2.5,2.5,5
5609,Products    of coir,2.5,2.5,5
5701,"Carpets    and other textile floor coverings, knotted, whether or not made up",6,6,12
5702,"Carpets    and other textile floor coverings, woven, not tufted or flocked, whether or    not made up, including “Kelem”, “Schumacks”, “Karamanie” and similar    hand-woven rugs",6,6,12
5703,"Carpets    and other textile floor coverings, tufted, whether or not made up",6,6,12
5704,"Carpets    and other textile floor coverings, of felt, not tufted or flocked, whether or    not made up",6,6,12
5705,"Other    carpets and other textile floor coverings, whether or not made up; such as    Mats and mattings including Bath Mats, where cotton predominates by weight,    of Handloom, Cotton Rugs of handloom except the items covered in 219 in    Schedule I.",6,6,12
5801,all    goods,2.5,2.5,5
5802,"Terry    towelling and similar woven terry fabrics, other than narrow fabrics of    heading 5806; tufted textile fabrics, other than products of heading 5703",6,6,12
5803,"Gauze,    other than narrow fabrics of heading 5806",6,6,12
5804,"Tulles    and other net fabrics, not including woven, knitted or crocheted fabrics;    lace in the piece, in strips or in motifs, other than fabrics of headings    6002 to 6006",6,6,12
5805,"Hand-woven    tapestries of the type Gobelins, Flanders, Aubusson, Beauvais and the like,    and needle-worked tapestries (for example, petit point, cross stitch),    whether or not made up",6,6,12
5806,"Narrow    woven fabrics, other than goods of heading 5807; narrow fabrics consisting of    warp without weft assembled by means of an adhesive (bolducs)",2.5,2.5,5
5807,"Labels,    badges and similar articles of textile materials, in the piece, in strips or    cut to shape or size, not embroidered",6,6,12
5808,"Braids    in the piece; ornamental trimmings in the piece, without embroidery, other    than knitted or crocheted; tassels, pompons and similar articles [other than    saree fall]",6,6,12
5809,"Embroidery    or zari articles, that is to say,- imi, zari, kasab, salma, dabka, chumki,    gota, sitara, naqsi, kora, glass beads, badla, gizai",2.5,2.5,5
5810,"Embroidery    in the piece, in strips or in motifs, Embroidered badges, motifs and the like    [other than Embroidery or zari articles, that is to say,- imi, zari, kasab,    saima, dabka, chumki, gota sitara, naqsi, kora, glass beads, badla, glzal]",6,6,12
5811,"Quilted textile    products in the piece, composed of one or more layers of textile materials    assembled with padding by stitching or otherwise, other than embroidery of    heading 5810",6,6,12
5901,"Textile    fabrics coated with gum or amylaceous substances, of a kind used for the    outer covers of books or the like; tracing cloth; prepared painting canvas;    buckram and similar stiffened textile fabrics of a kind used for hat    foundations",6,6,12
5902,"Tyre    cord fabric of high tenacity yarn of nylon or other polyamides, polyesters or    viscose rayon",6,6,12
5903,"Textile    fabrics impregnated, coated, covered or laminated with plastics, other than    those of heading 5902",6,6,12
5904,"Linoleum,    whether or not cut to shape; floor coverings consisting of a coating or    covering applied on a textile backing, whether or not cut to shape",6,6,12
5905,Textile    wall coverings,6,6,12
5906,"Rubberised    textile fabrics, other than those of heading 5902",6,6,12
5907,"Textile    fabrics otherwise impregnated, coated or covered; painted canvas being    theatrical scenery, studio back-cloths or the like",6,6,12
5908,"Textile    wicks, woven, plaited or knitted , for lamps, stoves, lighters, candles or    the like; incandescent gas mantles and tubular knitted gas mantle fabric    therefor, whether or not impregnated",6,6,12
5909,"Textile    hose piping and similar textile tubing, with or without lining, armour or    accessories of other materials",6,6,12
5910,"Transmission    or conveyor belts or belting, of textile material, whether or not    impregnated, coated, covered or laminated with plastics, or reinforced with    metal or other material",6,6,12
5911,"Textile    products and articles, for technical uses, specified in Note 7 to this    Chapter; such as Textile fabrics, felt and felt-lined woven fabrics, coated,    covered or laminated with rubber, leather or other material, of a kind used    for card clothing, and similar fabrics of a kind used for other technical    purposes, including narrow fabrics made of velvet impregnated with rubber,    for covering weaving spindles (weaving beams); Bolting cloth, whether or Not    made up; Felt for cotton textile industries, woven; Woven textiles felt,    whether or not impregnated or coated, of a kind commonly used in other    machines, Cotton fabrics and articles used in machinery and plant, Jute    fabrics and articles used in machinery or plant, Textile fabrics of metalised    yarn of a kind commonly used in paper making or other machinery, Straining    cloth of a kind used in oil presses or the like, including that of human    hair, Paper maker`s felt, woven, Gaskets, washers, polishing discs and other    machinery parts of textile articles",6,6,12
6214,Handmade/hand embroidered shawls of sale value not exceeding Rs. 1000 per piece,2.5,2.5,5
6309,Worn clothing    and other worn articles rags,2.5,2.5,5
6401,"Waterproof    footwear with outer soles and uppers of rubber or of plastics, the uppers of    which are neither fixed to the sole nor assembled by stitching, riveting,    nailing, screwing, plugging or similar processes",9,9,18
6402,Other    footwear with outer soles and uppers of rubber or plastics,9,9,18
6403,"Footwear    with outer soles of rubber, plastics, leather or composition leather and    uppers of leather",9,9,18
6404,"Footwear    with outer soles of rubber, plastics, leather or composition leather and    uppers of textile materials",9,9,18
6405,Other    footwear,9,9,18
6406,"Parts    of footwear (including uppers whether or not attached to soles other than    outer soles); removable in-soles, heel cushions and similar articles;    gaiters, leggings and similar articles, and parts thereof",9,9,18
6501,Textile    caps,6,6,12
6502,"Hat-shapes,    plaited or made by assembling strips of any material, neither blocked to    shape, nor with made brims, nor lined, nor trimmed",9,9,18
6505,Hats    (knitted/crocheted) or made up from lace or other textile fabrics,6,6,12
6506,"Other    headgear, whether or not lined or trimmed",9,9,18
6507,"Head-bands,    linings, covers, hat foundations, hat frames, peaks and chinstraps, for    headgear",9,9,18
6601,"Umbrellas    and sun umbrellas (including walking-stick umbrellas, garden umbrellas and    similar umbrellas)",6,6,12
6602,"Whips, riding-crops and the like",6,6,12
6603,"Parts,    trimmings and accessories of articles of heading 6601 or 6602",6,6,12
6701,"Skins    and other parts of birds with their feathers or down, feathers, parts of    feathers, down and articles thereof (other than goods of heading 0505 and    worked quills and scapes)",6,6,12
6702,"Artificial    flowers, foliage and fruit and parts thereof; articles made of artificial    flowers, foliage or fruit
     **",9,9,18
6703,"Wool    or other animal hair or other textile materials, prepared for use in making    wigs or the like",9,9,18
6704,"Wigs,    false beards, eyebrows and eyelashes, switches and the like, of human or    animal hair or of textile materials; articles of human hair not elsewhere    specified or included",9,9,18
6801,"Setts,    curbstones and flagstones, of natural stone (except slate)",9,9,18
6802,"Statues,    statuettes, pedestals; high or low reliefs, crosses, figures of animals,    bowls, vases, cups, cachou boxes, writing sets, ashtrays, paper weights,    artificial fruit and foliage, etc.; other ornamental goods essentially of    stone",6,6,12
6803,Worked    slate and articles of slate or of agglomerated slate,9,9,18
6804,"Millstones,    grindstones, grinding wheels and the like, without frameworks, for grinding,    sharpening, polishing, trueing or cutting, hand sharpening or polishing    stones, and parts thereof, of natural stone, of agglomerated nllatural or    artificial abrasives, or of ceramics, with or without parts of other    materials ",9,9,18
6805,"Natural    or artificial abrasive powder or grain, on a base of textile material, of    paper, of paperboard or of other materials, whether or not cut to shape or    sewn or otherwise made up",9,9,18
6806,"Slag    wool, rock wool and similar mineral wools; exfoliated vermiculite, expanded    clays, foamed slag and similar expanded mineral materials; mixtures and    articles of heat-insulating, sound-insulating or sound-absorbing mineral    materials, other than those of heading 6811 or 6812 or chapter 69",9,9,18
6807,"Articles    of asphalt or of similar material (for example, petroleum bitumen or coal tar    pitch)",9,9,18
6808,"Panels,    boards, tiles, blocks and similar articles of vegetable fibre, of straw or of    shavings, chips, particles, sawdust or other waste, of wood, agglomerated    with cement, plaster or other mineral binders",9,9,18
6809,"Articles    of plaster or of compositions based on plaster; such as Boards, sheets,    panels, tiles and similar articles, not ornamented",9,9,18
6810,"Articles    of cement, of concrete or of artificial stone, whether or not reinforced",9,9,18
6811,"Articles    of asbestos-cement, of cellulose fibre-cement or the like",9,9,18
6812,"Fabricated    asbestos fibres; mixtures with a basis of asbestos or with a basis of    asbestos and magnesium carbonate; articles of such mixtures or of asbestos    (for example, thread, woven fabric, clothing, headgear, footwear, gaskets),    whether or not reinforced, other than goods of heading 6811 or 6813",9,9,18
6813,"Friction    material and articles thereof (for example, sheets, rolls, strips, segments,    discs, washers, pads), not mounted, for brakes, for clutches or the like,    with a basis of asbestos, of other mineral substances or of cellulose,    whether or not combined with textiles or other materials",9,9,18
6814,"Worked    mica and articles of mica, including agglomerated or reconstituted mica,    whether or not on a support of paper, paperboard or other materials",9,9,18
6815,Fly ash bricks or fly ash aggregate with 90 per cent. or more fly ash content Fly ash blocks,2.5,2.5,5
6901,"Blocks,    tiles and other ceramic goods of siliceous fossil meals (for example,    kieselguhr, tripolite or diatomite) or of similar siliceous earths",9,9,18
6902,"Refractory    bricks, blocks, tiles and similar refractory ceramic constructional goods,    other than those of siliceous fossil meals or similar siliceous earths",9,9,18
6903,"Other    refractory ceramic goods (for example, retorts, crucibles, muffles, nozzles,    plugs, supports, cupels, tubes, pipes, sheaths and rods), other than those of    siliceous fossil meals or of similar siliceous earths",9,9,18
6904,"Ceramic    flooring blocks, support or filler tiles and the like",9,9,18
6905,"Chimney-pots,    cowls, chimney liners, architectural ornaments and other ceramic    constructional goods",9,9,18
6906,"Ceramic    pipes, conduits, guttering and pipe fittings",9,9,18
6907,"Ceramic    flags and paving, hearth or wall tiles; ceramic mosaic cubes and the    like,  whether or not on a backing;    finishing ceramics",9,9,18
6909,"Pots,    jars and similar articles of a kind used for the conveyance and packing of    goods of ceramic",6,6,12
6910,"Ceramic    sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans,    flushing cisterns, urinals and similar sanitary fixtures",9,9,18
6911,"Tableware,    kitchenware, other household articles and toilet articles, of porcelain or    china",6,6,12
6912,"Tableware,    kitchenware, other household articles and toilet articles, other than of    porcelain or china",6,6,12
6913,Statues    and other ornamental articles,6,6,12
6914,Other    ceramic articles,9,9,18
7001,Cullet    or other waste or scrap of glass,2.5,2.5,5
7002,"Glass    in balls (other than microspheres of heading 70.18), rods or tubes, unworked",9,9,18
7003,"Cast    glass and rolled glass, in sheets or profiles, whether or not having an    absorbent, reflecting or non-reflecting layer, but not otherwise worked",9,9,18
7004,"Drawn    glass and blown glass, in sheets, whether or not having an absorbent,    reflecting or non-reflecting layer, but not otherwise worked",9,9,18
7005,"Float    glass and surface ground or polished glass, in sheets, whether or not having    an absorbent, reflecting or non-reflecting layer, but not otherwise worked",9,9,18
7007,"Safety glass,    consisting of toughened (tempered) or laminated glass",9,9,18
7008,Multiple-walled    insulating units of glass,9,9,18
7009,"Glass    mirrors, whether or not framed, including rear-view mirrors",9,9,18
7010,"Carboys,    bottles, flasks, jars, pots, phials, ampoules and other containers, of glass,    of a kind used for the conveyance or packing of goods; preserving jars of    glass; stoppers, lids and other closures, of glass",9,9,18
7011,"Glass    envelopes (including bulbs and tubes), open, and glass parts thereof, without    fittings, for electric lamps, cathode-ray tubes or the like",9,9,18
7013,"Glassware    of a kind used for table, kitchen, toilet, office, indoor decoration or    similar purposes (other than that of heading 7010 or 7018)",9,9,18
7014,"Signalling    glassware and optical elements of glass (other than those of heading 7015),    not optically worked",9,9,18
7015,"Clock    or watch glasses and similar glasses, glasses for non-corrective spectacles,    curved, bent, hollowed or the like, not optically worked; hollow glass    spheres and their segments, for the manufacture of such glasses ",9,9,18
7016,"Paving    blocks, slabs, bricks, squares, tiles and other articles of pressed or    moulded glass, whether or not wired, of a kind used for building or    construction purposes; glass cubes and other glass smallwares, whether or not    on a backing, for mosaics or similar decorative purposes; leaded lights and    the like; multi-cellular or foam glass in blocks, panels, plates, shells or    similar forms",9,9,18
7017,"Laboratory,    hygienic or pharmaceutical glassware, whether or not graduated or calibrated",9,9,18
7018,"Imitation    pearls, imitation precious or semi-precious stones and similar glass    smallwares, and articles thereof other than imitation jewellery; glass eyes    other than prosthetic articles; statuettes and other ornaments of lamp-worked    glass, other than imitaion jewelery; glass microsphers not exceeding 1 mm in    diameter",9,9,18
7019,"Glass    fibres (including glass wool) and articles thereof (for example, yarn, woven    fabrics)",9,9,18
7020,"Other    articles of glass [other than Globes for lamps and lanterns, Founts for    kerosene wick lamps, Glass chimneys for lamps and lanterns]",9,9,18
7101,"Pearls, natural    or cultured, whether or not worked or graded but not strung, mounted or set;    pearls, natural or cultured, temporarily strung for convenience of transport",1.5,1.5,3
7102,All    goods,0.125,0.125,0.25
7103,"Precious stones (other than diamonds) and semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded precious stones (other than diamonds) and semi-precious stones, temporarily strung for convenience of transport",0.125,0.125,0.25
7104,"Synthetic or reconstructed precious or semiprecious stones, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semiprecious stones, temporarily strung for convenience of transport",0.125,0.125,0.25
7105,Dust    and powder of natural or synthetic precious or semi-precious stones,1.5,1.5,3
7106,"Silver    (including silver plated with gold or platinum), unwrought or in    semi-manufactured forms, or in powder form",1.5,1.5,3
7107,"Base    metals clad with silver, not further worked than semi-manufactured",1.5,1.5,3
7108,"Gold    (including gold plated with platinum) unwrought or in semi-manufactured    forms, or in powder form",1.5,1.5,3
7109,"Base    metals or silver, clad with gold, not further worked than semi-manufactured",1.5,1.5,3
7110,"Platinum,    unwrought or in semi-manufactured forms, or in powder form ",1.5,1.5,3
7111,"Base    metals, silver or gold, clad with platinum, not further worked than    semi-manufactured",1.5,1.5,3
7112,"Waste    and scrap of precious metal or of metal clad with precious metal; other waste    and scrap containing precious metal or precious metal compounds, of a kind    used principally for the recovery of precious metal.",1.5,1.5,3
7113,"Articles    of jewellery and parts thereof, of precious metal or of metal clad with    precious metal",1.5,1.5,3
7114,"Articles    of goldsmiths` or silversmiths` wares and parts thereof, of precious metal or    of metal clad with precious metal",1.5,1.5,3
7115,Other    articles of precious metal or of metal clad with precious metal,1.5,1.5,3
7116,"Articles    of natural or cultured pearls, precious or semi-precious stones (natural,    synthetic or reconstructed)",1.5,1.5,3
7117,"Handmade imitation jewellery (including natural seeds, beads jewelry, cardamom garland)",1.5,1.5,3
7118,Coin,1.5,1.5,3
7201,"Pig    iron and spiegeleisen in pigs, blocks or other primary forms",9,9,18
7202,Ferro-alloys,9,9,18
7203,"Ferrous    products obtained by direct reduction of iron ore and other spongy ferrous    products, in lumps, pellets or similar forms; iron having a minimum purity by    weight of 99.94%, in lumps, pellets or similar forms",9,9,18
7204,Ferrous    waste and scrap  remelting scrap ingots of iron or steel,9,9,18
7205,"Granules    and powders, of pig iron, spiegeleisen, iron or steel",9,9,18
7206,Iron    and non-alloy steel in ingots or other primary forms (excluding iron of    heading 7203),9,9,18
7207,Semi-finished    products of iron or non-alloy steel,9,9,18
7208,All    flat-rolled products of iron or non-alloy steel,9,9,18
7213,"All    bars and rods, of iron or non-alloy steel",9,9,18
7216,"Angles,    shapes and sections of iron or non-alloy steel",9,9,18
7217,Wire    of iron or non-alloy steel,9,9,18
7218,Stainless steel    in ingots or other primary forms  semi-finished products of stainless steel,9,9,18
7219,All    flat-rolled products of stainless steel,9,9,18
7221,"All    bars and rods, of stainless steel",9,9,18
7223,Wire    of stainless steel,9,9,18
7224,Other    alloy steel in ingots or other primary forms  semi-finished products of other    alloy steel,9,9,18
7225,All    flat-rolled products of other alloy steel,9,9,18
7227,All    bars and rods of other alloy steel.,9,9,18
7229,Wire    of other alloy steel,9,9,18
7301,"Sheet    piling of iron or steel, whether or not drilled, punched or made from    assembled elements; welded angles, shapes and sections, of iron or steel",9,9,18
7302,"Railway    or tramway track construction material of iron or steel, the following:    rails, check-rails and rack rails, switch blades, crossing frogs, point rods    and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair    wedges, sole plates (base plates), rail clips bedplates, ties and other    material specialized for jointing or fixing rails",9,9,18
7303,"Tubes,    pipes and hollow profiles, of cast iron",9,9,18
7304,"Tubes,    pipes and hollow profiles, seamless, of iron (other than cast iron) or steel",9,9,18
7305,"Other    tubes and pipes (for example, welded, riveted or similarly closed), having    circular crosssections, the external diameter of which exceeds 406.4 mm, of    iron or steel",9,9,18
7306,"Other    tubes, pipes and hollow profiles (for example, open seam or welded, riveted    or similarly closed), of iron or steel",9,9,18
7307,"Tube    or pipe fittings (for example, couplings, elbows, sleeves), of iron or steel",9,9,18
7308,"Structures    (excluding prefabricated buildings of heading 94.06) and parts of structures    (for example, bridges and bridgesections, lock‑gates, towers, lattice masts,    roofs, roofing frame‑works, doors and windows and their frames and thresholds    for doors, and shutters, balustrades, pillars, and columns), of iron or    steel; plates, rods, angles, shapes, section, tubes and the like, prepared    for using structures, of iron or steel [other than transmission towers]",9,9,18
7309,"Reservoirs,    tanks, vats and similar containers for any material (other than compressed or    liquefied gas), of iron or steel, of a capacity exceeding 300 l, whether or    not lined or heat-insulated, but not fitted with mechanical or thermal    equipment",9,9,18
7310,"Tanks,    casks, drums, cans, boxes and similar containers, for any material (other    than compressed or liquefied gas), of iron or steel, of a capacity not    exceeding 300 l, whether or not lined or heat-insulated, but not fitted with    mechanical or thermal equipment",9,9,18
7311,"Containers for    compressed or liquefied gas, of iron or steel",9,9,18
7312,"Stranded    wire, ropes, cables, plaited bands, slings and the like, of iron or steel,    not electrically insulated",9,9,18
7313,"Barbed    wire of iron or steel; twisted hoop or single flat wire, barbed or not, and    loosely twisted double wire, of a kind used for fencing, of iron or steel",9,9,18
7314,"Cloth    (including endless bands), grill, netting and fencing, of iron or steel wire;    expanded metal of iron or steel",9,9,18
7315,"Chain    and parts thereof, of iron or steel falling under 7315 20, 7315 81, 7315, 82,    7315 89, 7315 90",9,9,18
7316,"Anchors,    grapnels and parts thereof, of iron or steel",9,9,18
7317,Animal    shoe nails,6,6,12
7318,"Screws,    bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers    (including spring washers) and similar articles, of iron or steel",9,9,18
7319,"Knitting    needles, bodkins, crochet hooks, embroidery stilettos and similar articles,    for use in the hand, of iron or steel; safety pins and other pins of iron or    steel, not elsewhere specified or included",9,9,18
7320,"Springs    and leaves for springs, of iron and steel",9,9,18
7321,"Kerosene    burners, kerosene stoves and wood burning stoves of iron or steel",6,6,12
7322,"Radiators    for central heating, not electrically heated, and parts thereof, of iron or    steel; air heaters and hot air distributors (including distributors which can    also distribute fresh or conditioned air), not electrically heated,    incorporating a motor-driven fan or blower, and parts thereof, of iron or    steel",9,9,18
7323,"Iron    or steel wool; pot scourers and scouring or polishing pads, gloves and the    like, of iron or steel",9,9,18
7324,"Sanitary    ware and parts thereof, of iron and steel",9,9,18
7325,Other    cast articles of iron or steel,9,9,18
7326,"Mathematical    boxes, geometry boxes and colour boxes, pencil sharpeners",6,6,12
7401,Copper    mattes  cement copper (precipitated copper),9,9,18
7402,Unrefined    copper  copper anodes for electrolytic refining,9,9,18
7403,"Refined    copper and copper alloys, unwrought",9,9,18
7404,Copper    waste and scrap,9,9,18
7405,Master    alloys of copper,9,9,18
7406,Copper    powders and flakes,9,9,18
7407,"Copper    bars, rods and profiles",9,9,18
7408,Copper    wire,9,9,18
7409,"Copper    plates, sheets and strip, of a thickness exceeding 0.15 mm",9,9,18
7410,Copper    foils,9,9,18
7411,Copper    tubes and pipes,9,9,18
7412,"Copper    tube or pipe fittings (for example, couplings, elbows, sleeves)",9,9,18
7413,Stranded    wires and cables,9,9,18
7415,"Nails,    tacks, drawing pins, staples (other than those of heading 83.05) and similar    articles, of copper or of iron or steel with heads of copper; screws, bolts,    nuts, screw hooks, rivets, cotters, cotter-pins, washers (including spring    washers) and similar articles, of copper",9,9,18
7418,"Table,    kitchen or other household articles of copper; Utensils",6,6,12
7419,Other    articles of copper [other than Brass Kerosene Pressure Stove],9,9,18
7501,"Nickel    mattes, nickel oxide sinters and other intermediate products of nickel    metallurgy",9,9,18
7502,Unwrought    nickel,9,9,18
7503,Nickel    waste and scrap,9,9,18
7504,Nickel    powders and flakes,9,9,18
7505,"Nickel bars,    rods, profiles and wire",9,9,18
7506,"Nickel    plates, sheets, strip and foil",9,9,18
7507,"Nickel    tubes, pipes and tube or pipe fittings (for example, couplings, elbows,    sleeves)",9,9,18
7508,Other    articles of nickel,9,9,18
7601,[Unwrought]    Aluminium,9,9,18
7602,Aluminium    waste and scrap,9,9,18
7603,Aluminium    powders and flakes,9,9,18
7604,"Aluminium    bars, rods and profiles",9,9,18
7605,Aluminium    wire,9,9,18
7606,"Aluminium    plates, sheets and strip, of a thickness exceeding 0.2 mm",9,9,18
7607,"Aluminium    foil (whether or not printed or backed with paper, paperboard, plastics or    similar backing materials) of a thickness (excluding any backing) not    exceeding 0.2 mm",9,9,18
7608,Aluminium    tubes and pipes,9,9,18
7609,"Aluminium    tube or pipe fittings (for example, couplings, elbows, sleeves)",9,9,18
7610,"Aluminium    structures (excluding prefabricated buildings of heading 9406) and parts of    structures (for example, bridges and bridge-sections, towers, lattice masts,    roofs, roofing frameworks, balustrades, pillars and columns); aluminium    plates. rods, profiles, tubes and the like, prepared for use in structures",9,9,18
7611,"Aluminium    reservoirs, tanks, vats and similar containers, for any material (other than    compressed or liquefied gas), of a capacity exceeding 300 l, whether or not    lined or heat-insulated, but not fitted with mechanical or thermal equipment",9,9,18
7612,"Aluminium    casks, drums, cans, boxes, etc.",9,9,18
7613,Aluminium    containers for compressed or liquefied gas,9,9,18
7614,"Stranded    wires, cables, plaited bands and the like, of aluminium, not electrically    insulated",9,9,18
7615,"Table,    kitchen or other household articles of aluminium; Utensils",6,6,12
7616,Other    articles of aluminium,9,9,18
7801,Unwrought    lead,9,9,18
7802,Lead    waste and scrap,9,9,18
7804,"Lead    plates, sheets, strip and foil; lead powders and flakes",9,9,18
7806,Other    articles of lead (including sanitary fixtures and Indian lead seals),9,9,18
7901,Unwrought    zinc,9,9,18
7902,Zinc waste and    scrap,9,9,18
7903,"Zinc    dust, powders and flakes",9,9,18
7904,"Zinc    bars, rods, profiles and wire",9,9,18
7905,"Zinc    plates, sheets, strip and foil",9,9,18
7907,Other    articles of zinc including sanitary fixtures,9,9,18
8001,Unwrought    tin,9,9,18
8002,Tin    waste and scrap,9,9,18
8003,"Tin    bars, rods, profiles and wire",9,9,18
8007,Other    articles of tin,9,9,18
8101,"Other    base metals, namely, Tungsten, Molybdenum, Tantalum, Magnesium, Cobalt    mattes,  and other intermediate    products of cobalt metallurgy, Bismuth, Cadmium, Titanium, Zirconium,    Antimony, Manganese, Beryllium, chromium, germanium, vanadium, gallium,    hafnium, indium, niobium (columbium), rhenium and thallium, and articles    thereof, including waste and scrap",9,9,18
8113,"Cermets    and articles thereof, including waste and scrap",9,9,18
8201,"Agricultural    implements manually operated or animal driven i.e. Hand tools, such as    spades, shovels, mattocks, picks, hoes, forks and rakes; axes, bill hooks and    similar hewing tools; secateurs and pruners of any kind; scythes, sickles,    hay knives, hedge shears, timber wedges and other tools of a kind used in    agriculture, horticulture or forestry, other than ghamella.",0,0,0
8202,"Hand    saws; blades for saws of all kinds (including slitting, slotting or toothless    saw blades)",9,9,18
8203,"Files,    rasps, pliers (including cutting pliers), pincers, tweezers, metal cutting    shears, pipe-cutters, bolt croppers, perforating punches and similar hand    tools",9,9,18
